setting,iteration,map50_mean,map50_sem
YOLOv4 default,1426,0.33033333333333337,0.011577324580594787
YOLOv4 default,1427,0.33033333333333337,0.011577324580594787
YOLOv4 default,1428,0.33033333333333337,0.011577324580594787
YOLOv4 default,1429,0.33033333333333337,0.011577324580594787
YOLOv4 default,1430,0.33033333333333337,0.011577324580594787
YOLOv4 default,1431,0.33033333333333337,0.011577324580594787
YOLOv4 default,1432,0.33033333333333337,0.011577324580594787
YOLOv4 default,1433,0.33033333333333337,0.011577324580594787
YOLOv4 default,1434,0.33033333333333337,0.011577324580594787
YOLOv4 default,1435,0.33033333333333337,0.011577324580594787
YOLOv4 default,1436,0.33033333333333337,0.011577324580594787
YOLOv4 default,1437,0.33033333333333337,0.011577324580594787
YOLOv4 default,1438,0.33033333333333337,0.011577324580594787
YOLOv4 default,1439,0.33033333333333337,0.011577324580594787
YOLOv4 default,1440,0.33033333333333337,0.011577324580594787
YOLOv4 default,1441,0.33033333333333337,0.011577324580594787
YOLOv4 default,1442,0.33033333333333337,0.011577324580594787
YOLOv4 default,1443,0.33033333333333337,0.011577324580594787
YOLOv4 default,1444,0.33033333333333337,0.011577324580594787
YOLOv4 default,1445,0.33033333333333337,0.011577324580594787
YOLOv4 default,1446,0.33033333333333337,0.011577324580594787
YOLOv4 default,1447,0.33033333333333337,0.011577324580594787
YOLOv4 default,1448,0.33033333333333337,0.011577324580594787
YOLOv4 default,1449,0.33033333333333337,0.011577324580594787
YOLOv4 default,1450,0.33033333333333337,0.011577324580594787
YOLOv4 default,1451,0.33033333333333337,0.011577324580594787
YOLOv4 default,1452,0.33033333333333337,0.011577324580594787
YOLOv4 default,1453,0.33033333333333337,0.011577324580594787
YOLOv4 default,1454,0.33033333333333337,0.011577324580594787
YOLOv4 default,1455,0.33033333333333337,0.011577324580594787
YOLOv4 default,1456,0.33033333333333337,0.011577324580594787
YOLOv4 default,1457,0.33033333333333337,0.011577324580594787
YOLOv4 default,1458,0.33033333333333337,0.011577324580594787
YOLOv4 default,1459,0.33033333333333337,0.011577324580594787
YOLOv4 default,1460,0.33033333333333337,0.011577324580594787
YOLOv4 default,1461,0.33033333333333337,0.011577324580594787
YOLOv4 default,1462,0.33033333333333337,0.011577324580594787
YOLOv4 default,1463,0.33033333333333337,0.011577324580594787
YOLOv4 default,1464,0.33033333333333337,0.011577324580594787
YOLOv4 default,1465,0.33033333333333337,0.011577324580594787
YOLOv4 default,1466,0.33033333333333337,0.011577324580594787
YOLOv4 default,1467,0.33033333333333337,0.011577324580594787
YOLOv4 default,1468,0.33033333333333337,0.011577324580594787
YOLOv4 default,1469,0.33033333333333337,0.011577324580594787
YOLOv4 default,1470,0.33033333333333337,0.011577324580594787
YOLOv4 default,1471,0.33033333333333337,0.011577324580594787
YOLOv4 default,1472,0.33033333333333337,0.011577324580594787
YOLOv4 default,1473,0.33033333333333337,0.011577324580594787
YOLOv4 default,1474,0.33033333333333337,0.011577324580594787
